City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Country,Date
406,Parrita,9.52,-84.32,80.6,61,0,12.75,clear sky,CR,2020-11-29 16:48:08
407,Sambava,-14.27,50.17,76.71,82,12,6.8,few clouds,MG,2020-11-29 16:48:17
408,Astana,51.18,71.45,1.4,91,75,2.24,broken clouds,KZ,2020-11-29 16:46:02
409,Sorland,67.67,12.69,44.6,93,75,16.11,light rain,NO,2020-11-29 16:48:17
410,Darhan,49.49,105.92,5.95,90,0,4.65,clear sky,MN,2020-11-29 16:48:18
411,Shahr-E Babak,30.12,55.12,54.61,40,63,7.11,broken clouds,IR,2020-11-29 16:48:18
412,Virginia Beach,36.85,-75.98,61.0,57,17,3.0,few clouds,US,2020-11-29 16:43:49
413,Hovd,48.01,91.64,11.98,91,93,0.83,overcast clouds,MN,2020-11-29 16:48:18
414,Gulu,2.77,32.3,67.59,82,89,3.13,overcast clouds,UG,2020-11-29 16:48:18
415,Kieta,-6.22,155.63,79.66,79,99,2.95,overcast clouds,PG,2020-11-29 16:48:18
416,Beloha,-25.17,45.05,75.36,74,0,5.35,clear sky,MG,2020-11-29 16:48:18
417,Rovenki,48.08,39.38,41.52,83,100,16.24,overcast clouds,UA,2020-11-29 16:48:18
418,Inhambane,-23.86,35.38,80.6,78,75,2.24,broken clouds,MZ,2020-11-29 16:48:19
419,Waddan,29.16,16.14,63.0,29,0,6.04,clear sky,LY,2020-11-29 16:38:25
420,Songjianghe,42.19,127.48,12.33,91,36,2.95,scattered clouds,CN,2020-11-29 16:48:19
421,Vestmannaeyjar,63.44,-20.27,39.2,93,75,19.46,broken clouds,IS,2020-11-29 16:48:19
422,Porto Novo,6.5,2.6,87.8,70,20,11.41,few clouds,BJ,2020-11-29 16:48:19
423,Inverness,57.48,-4.22,44.6,87,75,10.29,broken clouds,GB,2020-11-29 16:48:19
424,Krutinka,56.01,71.51,0.91,93,31,5.84,scattered clouds,RU,2020-11-29 16:48:19
425,Leshukonskoye,64.9,45.76,18.5,96,82,8.88,broken clouds,RU,2020-11-29 16:48:19
426,Japura,-0.32,102.35,73.85,90,71,1.01,broken clouds,ID,2020-11-29 16:48:19
427,Belmonte,-15.86,-38.88,84.2,62,90,8.05,overcast clouds,BR,2020-11-29 16:48:20
428,Lingao,19.91,109.69,69.1,75,80,12.66,broken clouds,CN,2020-11-29 16:47:56
429,Bilibino,68.05,166.44,-14.78,86,100,1.05,overcast clouds,RU,2020-11-29 16:38:29
430,Amberieu-En-Bugey,45.96,5.34,37.4,93,90,8.05,overcast clouds,FR,2020-11-29 16:48:20
431,Lucea,18.45,-78.17,84.2,70,20,14.99,few clouds,JM,2020-11-29 16:48:20
