City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
308,Cabo San Lucas,MX,73.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
309,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
311,Bangui,CF,80.15,overcast clouds,4.36,18.55,SAM HOTEL
312,Saint-Louis,SN,89.6,clear sky,16.33,-15.0,
315,Bodden Town,KY,80.01,scattered clouds,19.28,-81.25,Will T Place
316,Coihueco,CL,71.6,few clouds,-36.62,-71.83,Frutillares Coihueco
320,Tevaitoa,PF,81.59,few clouds,-16.78,-151.5,Hôtel Raiatea Lodge
322,Sur,OM,71.67,clear sky,22.57,59.53,Sur Plaza Hotel
323,Marsh Harbour,BS,77.13,overcast clouds,26.54,-77.06,Abaco Beach Resort
324,Madang,PG,76.69,overcast clouds,-5.22,145.8,Comfort Inn Hotel
329,Gamba,GA,78.73,overcast clouds,-2.65,10.0,
332,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
338,Isangel,VU,70.61,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
339,Nabire,ID,77.16,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
342,Taoudenni,ML,74.82,overcast clouds,22.68,-3.98,
349,Raga,SS,79.43,scattered clouds,8.46,25.68,
350,Caravelas,BR,79.56,few clouds,-17.71,-39.25,Pousada dos Navegantes
351,Odweyne,SO,73.2,few clouds,9.41,45.06,Eng Hiirey House
353,Ban Phaeo,TH,75.0,broken clouds,13.59,100.11,บริษัท โล้วเฮงหมงมอเตอร์ สาขาบ้านแพ้ว
359,Katobu,ID,77.47,overcast clouds,-4.94,122.53,La Ode Husein
360,Sulangan,PH,82.76,clear sky,11.14,123.72,Maia's Beach Resort
365,Luanda,AO,82.4,few clouds,-8.84,13.23,EPIC SANA Luanda
367,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
368,Padang,ID,77.4,few clouds,-0.95,100.35,Mercure Padang
369,Sibolga,ID,76.62,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
370,Tra Vinh,VN,74.32,broken clouds,9.93,106.35,Hồng Ân
371,Srandakan,ID,74.1,light rain,-7.94,110.25,Puri Brata
375,Lookan,PH,82.08,overcast clouds,5.04,120.1,
377,De Aar,ZA,79.81,clear sky,-30.65,24.01,Stoneburgh B&B
385,Fuerte,PH,79.47,clear sky,17.54,120.36,Giordion Inn
387,Iquique,CL,71.6,clear sky,-20.22,-70.14,Backpacker`s Hostel Iquique
388,Lumeje,AO,73.38,light rain,-11.55,20.78,
391,San Andres,CO,84.2,shower rain,12.58,-81.7,Hotel Arena Blanca
392,Cairns,AU,77.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
396,Humaita,BR,91.85,broken clouds,-7.51,-63.02,Corrêa Hotel
397,Bengkulu,ID,75.43,light rain,-3.8,102.27,Grage Hotel Bengkulu
399,Galle,LK,79.18,overcast clouds,6.04,80.22,Amangalla
402,Mookane,BW,86.94,broken clouds,-23.69,26.66,
403,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
406,Parrita,CR,80.6,clear sky,9.52,-84.32,Beso del Viento
407,Sambava,MG,76.71,few clouds,-14.27,50.17,Melrose
415,Kieta,PG,79.66,overcast clouds,-6.22,155.63,
416,Beloha,MG,75.36,clear sky,-25.17,45.05,
418,Inhambane,MZ,80.6,broken clouds,-23.86,35.38,Oceano
422,Porto Novo,BJ,87.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
426,Japura,ID,73.85,broken clouds,-0.32,102.35,Rumah mbah Jamah
427,Belmonte,BR,84.2,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
431,Lucea,JM,84.2,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
