City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Stornoway,GB,2020-11-28 04:51:49,58.21,-6.39,46.4,87,100,9.17
139,Bonavista,CA,2020-11-28 04:51:49,48.65,-53.11,48.2,93,81,9.17
140,Jalu,LY,2020-11-28 04:51:49,29.03,21.55,52.83,80,0,4.76
141,Northam,GB,2020-11-28 04:45:09,51.03,-4.22,46.99,95,94,3.0
142,Labuhan,ID,2020-11-28 04:51:49,-6.88,112.21,87.53,62,9,8.23
143,Cockburn Town,TC,2020-11-28 04:47:15,21.46,-71.14,78.06,73,41,12.91
144,Samarai,PG,2020-11-28 04:44:57,-10.62,150.67,82.63,72,93,7.58
145,Balsas,BR,2020-11-28 04:51:49,-7.53,-46.04,75.13,76,100,3.71
146,Zhigansk,RU,2020-11-28 04:51:50,66.77,123.37,-0.62,91,100,17.56
147,Orthez,FR,2020-11-28 04:51:50,43.49,-0.77,43.0,100,90,3.36
148,Salalah,OM,2020-11-28 04:42:04,17.02,54.09,77.0,57,0,9.17
149,Cap Malheureux,MU,2020-11-28 04:51:50,-19.98,57.61,71.01,84,2,7.0
150,Laredo,US,2020-11-28 04:51:50,27.51,-99.51,75.2,78,90,16.11
151,East London,ZA,2020-11-28 04:44:36,-33.02,27.91,62.6,82,0,12.75
152,Linxi,CN,2020-11-28 04:51:50,39.7,118.43,33.01,64,100,4.27
153,Kamyshin,RU,2020-11-28 04:51:50,50.1,45.42,31.91,96,99,10.87
154,Barrow,US,2020-11-28 04:44:28,71.29,-156.79,3.2,77,1,11.41
155,Bondoukou,CI,2020-11-28 04:51:51,8.03,-2.8,73.9,85,98,4.18
156,Luderitz,NA,2020-11-28 04:44:44,-26.65,15.16,59.0,82,0,8.05
157,Kitimat,CA,2020-11-28 04:44:52,54.05,-128.65,32.0,96,100,3.96
158,Abalak,RU,2020-11-28 04:51:51,58.13,68.59,5.97,95,66,4.05
159,Pringsewu,ID,2020-11-28 04:51:51,-5.36,104.97,88.86,56,59,2.28
160,Antalaha,MG,2020-11-28 04:51:51,-14.9,50.28,78.75,75,15,5.06
161,Bredasdorp,ZA,2020-11-28 04:44:34,-34.53,20.04,62.6,72,100,5.82
162,Alice Springs,AU,2020-11-28 04:44:59,-23.7,133.88,111.99,8,0,9.17
163,Tingo Maria,PE,2020-11-28 04:51:51,-9.29,-76.01,70.57,82,97,1.97
164,Buchanan,LR,2020-11-28 04:51:52,5.88,-10.05,77.0,94,40,2.53
165,Brandenburg,DE,2020-11-28 04:49:37,52.42,12.55,39.0,97,26,3.65
166,Port Blair,IN,2020-11-28 04:44:51,11.67,92.75,82.49,77,97,18.16
167,Nikolskoye,RU,2020-11-28 04:44:24,59.7,30.79,35.6,80,90,11.18
168,Longyearbyen,SJ,2020-11-28 04:44:55,78.22,15.64,28.4,79,90,40.26
169,Moindou,NC,2020-11-28 04:51:52,-21.69,165.68,82.4,51,20,18.34
170,Chabahar,IR,2020-11-28 04:51:52,25.29,60.64,72.46,57,0,3.38
171,Roma,US,2020-11-28 04:49:56,43.21,-75.46,44.6,81,90,3.36
172,Tilichiki,RU,2020-11-28 04:45:27,60.47,166.1,-1.46,93,97,9.75
173,Kaeo,NZ,2020-11-28 04:44:47,-35.1,173.78,73.99,43,0,4.0
174,Nanortalik,GL,2020-11-28 04:44:39,60.14,-45.24,32.88,95,100,8.16
175,Husavik,IS,2020-11-28 04:44:45,66.04,-17.34,33.8,59,75,12.75
176,Cabo San Lucas,MX,2020-11-28 04:44:28,22.89,-109.91,71.01,67,35,4.0
177,Guane,CU,2020-11-28 04:51:53,22.2,-84.09,68.61,85,0,6.15
178,Merauke,ID,2020-11-28 04:51:53,-8.47,140.33,85.17,64,96,9.15
179,Nome,US,2020-11-28 04:42:15,64.5,-165.41,21.2,79,90,5.82
180,Umm Kaddadah,SD,2020-11-28 04:51:53,13.6,26.69,64.2,29,0,17.45
181,Riyadh,SA,2020-11-28 04:48:35,24.69,46.72,60.8,93,90,4.7
182,Lagoa,PT,2020-11-28 04:44:25,39.05,-27.98,55.36,66,33,25.86
183,High Level,CA,2020-11-28 04:44:51,58.52,-117.14,10.4,92,5,3.65
184,Saint-Joseph,RE,2020-11-28 04:44:28,-21.37,55.62,80.6,57,0,11.41
185,Gogrial,SS,2020-11-28 04:51:54,8.53,28.1,74.12,27,12,8.16
186,Ituacu,BR,2020-11-28 04:51:54,-13.81,-41.3,64.54,91,79,3.18
187,Vanimo,PG,2020-11-28 04:44:34,-2.67,141.3,84.13,79,100,7.02
188,Yerbogachen,RU,2020-11-28 04:44:40,61.28,108.01,-5.85,91,83,1.99
189,Kurumkan,RU,2020-11-28 04:45:25,54.3,110.3,9.82,88,75,1.28
190,Saint-Georges,GD,2020-11-28 04:51:55,12.06,-61.75,78.8,88,20,5.82
191,Vila Velha,BR,2020-11-28 04:43:00,-20.33,-40.29,73.4,88,40,3.36
